time,symbol,dir,entry,exit,resolve,pnl_pct,pnl_dollar,reason,equity,trades,wr
2026-09-12T04:50:29.261538,BEATUSDT,short,0.09,0.09,market,-0.0160,-0.64,SL,9.36,1,0.0
2026-09-12T04:53:17.968223,QUSDT,long,0.02,0.02,market,-0.0160,-0.64,SL,8.72,2,0.0
2026-09-12T04:56:57.005729,BEATUSDT,short,0.09,0.09,market,-0.0160,-0.60,SL,8.12,3,0.0
2026-09-12T04:59:44.238439,VTHOUSDT,long,0.00,0.00,market,0.0290,1.16,TP,9.28,4,25.0
2026-09-12T05:10:54.791022,QUSDT,long,0.02,0.02,market,0.0021,0.07,TIMEOUT,9.36,5,40.0
