time,equity,capital,dd,trades,wr
2026-08-18T14:09:52.291174,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:10:53.530407,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:11:54.816101,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:12:56.204144,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:13:57.447052,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:14:58.682795,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:15:59.814900,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:17:01.148580,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:18:02.801228,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:19:04.104586,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:20:05.480540,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:21:06.915590,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:22:08.867945,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:23:10.416583,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:24:11.767273,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:25:12.984415,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:26:14.325989,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:27:15.662851,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:28:16.901892,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:28:51.922081,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:29:53.056805,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:30:54.293889,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:31:55.424396,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:32:56.633270,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:33:59.780781,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:35:00.979975,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:36:02.317694,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:37:03.483425,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:38:04.790846,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:39:06.028567,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:40:07.406537,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:41:08.701796,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:42:09.945490,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:43:11.484722,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:44:12.825693,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:45:13.966226,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:46:15.196070,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:47:16.385885,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:48:17.766324,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:49:19.996564,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:50:21.241301,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:51:22.466184,100000.00,100000.00,0.0000,0,0.0
2026-08-18T14:52:23.736595,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:53:24.973423,100000.00,100000.00,0.0002,0,0.0
2026-08-18T14:54:26.210637,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:55:27.441432,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:56:28.598220,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:57:29.809103,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:58:30.948063,100000.00,100000.00,0.0001,0,0.0
2026-08-18T14:59:32.184482,100000.00,100000.00,0.0001,0,0.0
2026-08-18T15:00:33.463388,100000.00,100000.00,0.0001,0,0.0
2026-08-18T15:01:34.655106,100000.00,100000.00,0.0000,0,0.0
2026-08-18T15:02:36.097476,100000.00,100000.00,0.0001,0,0.0
2026-08-18T15:03:37.399561,100000.00,100000.00,0.0001,0,0.0
