time,equity,effective_equity,trades,wr,cooldown
2026-09-12T05:41:30.067059,10.00,10.00,0,0.0,0
2026-09-12T05:42:41.344024,10.00,10.32,0,0.0,0
2026-09-12T05:43:28.064092,10.00,10.10,0,0.0,0
2026-09-12T05:44:25.691089,10.00,10.05,0,0.0,0
2026-09-12T05:45:15.385857,9.36,9.97,1,0.0,0
2026-09-12T05:46:08.199930,9.36,10.23,1,0.0,0
2026-09-12T05:46:44.479777,9.36,10.44,1,0.0,0
2026-09-12T05:47:26.985537,9.36,10.74,1,0.0,0
2026-09-12T05:48:04.129993,9.36,10.33,1,0.0,0
2026-09-12T05:48:44.999386,9.36,9.91,1,0.0,0
2026-09-12T05:49:30.196734,9.36,9.89,1,0.0,0
2026-09-12T05:50:30.262099,9.36,9.75,1,0.0,0
2026-09-12T05:51:27.925932,9.36,10.10,1,0.0,0
2026-09-12T05:52:07.152878,9.36,10.09,1,0.0,0
2026-09-12T05:52:48.309667,9.36,10.21,1,0.0,0
2026-09-12T05:53:40.501785,9.36,10.57,1,0.0,0
2026-09-12T05:54:54.625997,9.36,10.34,1,0.0,0
2026-09-12T05:56:15.632104,9.36,9.98,1,0.0,0
2026-09-12T05:57:45.873574,9.36,10.27,1,0.0,0
2026-09-12T05:59:02.332280,9.36,9.62,1,0.0,0
2026-09-12T06:00:32.793216,9.80,9.95,2,50.0,0
2026-09-12T06:02:26.288180,9.80,10.06,2,50.0,0
2026-09-12T06:03:53.989199,9.80,9.80,2,50.0,0
2026-09-12T06:05:34.059914,10.74,10.74,3,66.7,0
2026-09-12T06:06:56.921543,11.99,11.99,4,75.0,0
2026-09-12T06:07:54.702808,11.99,12.18,4,75.0,0
2026-09-12T06:09:13.202978,11.99,12.68,4,75.0,0
2026-09-12T06:10:43.049143,11.99,12.30,4,75.0,0
2026-09-12T06:11:49.053553,11.99,12.11,4,75.0,0
2026-09-12T06:12:30.931373,11.99,12.87,4,75.0,0
2026-09-12T06:14:01.135970,11.99,11.99,4,75.0,0
2026-09-12T06:15:20.061888,11.99,12.87,4,75.0,0
2026-09-12T06:16:23.919177,11.99,12.93,4,75.0,0
2026-09-12T06:17:46.690962,13.38,13.38,5,80.0,0
2026-09-12T06:19:31.423164,12.52,12.52,6,66.7,0
2026-09-12T06:20:53.469971,12.52,13.04,6,66.7,0
2026-09-12T06:21:55.211289,12.52,13.04,6,66.7,0
2026-09-12T06:22:41.422405,12.52,12.72,6,66.7,0
2026-09-12T06:23:59.068507,12.52,12.85,6,66.7,0
2026-09-12T06:25:28.764821,12.52,13.04,6,66.7,0
2026-09-12T06:27:33.000594,12.52,12.44,6,66.7,0
2026-09-12T06:29:20.338053,12.52,12.25,6,66.7,0
2026-09-12T06:30:19.257292,12.52,12.31,6,66.7,0
2026-09-12T06:31:13.224488,12.52,12.27,6,66.7,0
2026-09-12T06:32:56.161567,12.52,11.98,6,66.7,0
2026-09-12T06:35:19.968173,11.72,11.39,7,57.1,0
2026-09-12T06:38:31.336841,10.92,10.49,8,50.0,49
2026-09-12T06:39:06.665973,10.92,10.92,8,50.0,48
2026-09-12T06:39:38.618318,10.92,10.80,8,50.0,47
